x_var,y_var,correlation,p_value,direction,method
ON_FOOT,int_exer_3_response,0.6554438587208626,1.767020285216906e-08,Positive,Spearman
SLEEP_MINUTES,fatigue_13_response,0.3925643684074558,0.0019196173160118373,Positive,Pearson
SCREEN_ON_SECONDS,tired_1_response,0.3834616128476388,0.0022845703494568225,Positive,Pearson
ON_FOOT,int_sed_1_response,0.37824020553190724,0.004049619775082835,Positive,Spearman
TILTING,int_sed_1_response,0.3746556299440514,0.004443271190176242,Positive,Spearman
UNKNOWN,int_sed_1_response,0.3737069544303442,0.004552933670311496,Positive,Spearman
USAGE_DURATION_MIN,tense_11_response,0.3552574075462591,0.01224833941966298,Positive,Pearson
UNLOCK_EVENTS_NUM,excite_14_response,0.34291338534439864,0.007843049284742009,Positive,Pearson
UNLOCK_EVENTS_NUM,tense_11_response,0.3409344882331118,0.016519022732826166,Positive,Spearman
MIMS_SUM_WEAR,int_exer_3_response,0.33191897366363077,0.010222004578647774,Positive,Spearman
ON_FOOT,activity_2_response,0.32191761075226133,3.12378964143073e-05,Positive,Pearson
TILTING,prod_0_response,0.3210356856806483,0.011647122237870138,Positive,Spearman
UNKNOWN,prod_0_response,0.31237620293251706,0.014248523348537085,Positive,Spearman
IN_VEHICLE,family_1_response,0.30996202478787416,0.01594664151198767,Positive,Pearson
TILTING,excite_14_response,0.30193489175502236,0.020119403735615396,Positive,Pearson
IN_VEHICLE,prod_0_response,0.28629266489323724,0.025299078439945773,Negative,Spearman
ON_BIKE,focus_3_response,0.2710054792595222,0.015037028111546806,Positive,Spearman
UNLOCK_EVENTS_NUM,nervous_4_response,0.26402834440797357,0.030852979307240964,Positive,Spearman
ON_FOOT,feel_exer_1_response,0.252194346472403,0.039507681110457965,Positive,Spearman
TILTING,feel_sit_1_response,0.23828477260918407,0.04698331835987109,Positive,Pearson
ON_BIKE,frust_12_response,0.23776918356438298,0.04914985270529764,Positive,Pearson
STILL,activity_2_response,0.23507957006089353,0.0026841857892896306,Positive,Pearson
SLEEP_MINUTES,activity_0_response,0.23399156611424637,0.005740787619154135,Positive,Spearman
UNLOCK_EVENTS_NUM,activity_2_response,0.19012205318989153,0.015706847109729596,Positive,Spearman
SCREEN_ON_SECONDS,activity_0_response,0.17719905635064456,0.037602044586766165,Positive,Spearman
IN_VEHICLE,activity_0_response,0.1712918940005195,0.04455907407660344,Positive,Spearman
ON_FOOT,activity_0_response,-0.18178621279270243,0.032851529555311156,Negative,Pearson
SCREEN_ON_SECONDS,activity_2_response,-0.19805404824167072,0.01178754834935652,Negative,Pearson
STILL,activity_0_response,-0.20962079488806504,0.01360345889133697,Negative,Spearman
UNLOCK_EVENTS_NUM,proc_4_response,-0.25756547973798016,0.04507174391150815,Negative,Spearman
ON_FOOT,proc_4_response,-0.2630776076525084,0.040517782100482035,Negative,Pearson
IN_VEHICLE,routine_0_response,-0.2650847039950648,0.026571034819199764,Negative,Spearman
UNLOCK_EVENTS_NUM,routine_0_response,-0.2654287783931397,0.0263679760455688,Negative,Spearman
UNKNOWN,relax_10_response,-0.278506397659767,0.03949904807211543,Negative,Spearman
SLEEP_MINUTES,excite_14_response,-0.2818061848718534,0.030594065590193682,Negative,Pearson
SCREEN_ON_SECONDS,int_sed_1_response,-0.2892040489161341,0.030631937135344598,Negative,Spearman
STILL,happy_8_response,-0.29205657870090096,0.048897483902362836,Negative,Spearman
MIMS_SUM_WEAR,tired_1_response,-0.2932143587172109,0.021827260550874028,Negative,Spearman
USAGE_DURATION_MIN,happy_8_response,-0.29490143795240586,0.046638817930408555,Negative,Spearman
UNLOCK_EVENTS_NUM,happy_8_response,-0.3141446598125292,0.03349087200633204,Negative,Spearman
TILTING,tired_1_response,-0.31514183702453286,0.013368190912312306,Negative,Pearson
TILTING,int_eat_1_response,-0.34252542861150614,0.015989479904250405,Negative,Pearson
STILL,routine_0_response,-0.3441358349002981,0.0035333817557442852,Positive,Spearman
TILTING,sleep_0_response,-0.36157915402178686,0.013547980261142803,Negative,Pearson
UNKNOWN,alone_0_response,-0.36189885865803584,0.012432943138136893,Negative,Spearman
ON_BIKE,sleep_0_response,-0.3621380604201801,0.013393608756386694,Negative,Spearman
TILTING,routine_0_response,-0.3674064851954622,0.0017551972266420482,Negative,Spearman
IN_VEHICLE,int_eat_1_response,-0.40595748238629537,0.0038024481362878204,Negative,Pearson
