subject_id,watch_data_completeness,phone_ema_response_rate,watch_ema_response_rate,total_emas,days_with_phone_data,phone_usage_events,variability_score,data_quality_score
afflictedrevenueepilepsy@timestudy_com,100.0,22.80130293159609,97.06951871657753,22928,360.0,854956,0.14887660181724982,75.96124649445208
groinunratedbattery@timestudy_com,100.0,29.45749255706252,90.28195335987648,18353,359.0,1769053,0.13267265380341267,75.9218337750817
subtitlegrievousbazooka@timestudy_com,100.0,23.57897101774882,95.6563995215311,22278,363.0,628836,0.18136521567421016,75.77061116178398
anagramprobingscrooge@timestudy_com,100.0,25.711416136591897,93.34460950139727,22559,370.0,1575845,0.1454493589635802,75.71680769139675
diagramuncoupleoutput@timestudy_com,100.0,23.155634158665993,95.36470176666083,19350,328.0,1430079,0.14801090035128442,75.55610077759805
tipoffstarchpartly@timestudy_com,100.0,22.31139646869984,96.18308885646265,21743,355.0,919852,0.1574824716387366,75.54834559754875
washboardceramicsenticing@timestudy_com,100.0,21.819713563605728,96.2484049340706,21251,379.0,2341354,0.18536539747866543,75.4204355493029
smeltingexerciserstabilize@timestudy_com,100.0,20.934158694428813,96.92733746538309,12914,222.0,681678,0.15536918434464259,75.35844884794358
dissuadecelestialrelic@timestudy_com,100.0,22.194748616507713,94.38122960218753,19830,296.0,490893,0.17185456044918188,74.97279346560858
spinstersubatomiccoyness@timestudy_com,100.0,19.576832656550543,96.77620632279535,18974,367.0,279727,0.19158450520777304,74.90591169380377
